ENTRYTYPE,ID,abstract,address,adsnote,adsurl,affiliation,an,annote,archiveprefix,article_type,author,author_keywords,bdsk-file-1,bdsk-url-1,bdsk-url-2,bibsource,biburl,booktitle,chapter,citation,copyright,da,date,date-added,date-modified,db,document_type,doi,dp,edition,editor,eid,elocation-id,eprint,et,howpublished,id,institution,isbn,issn,issue,j2,journal,journal1,journal2,keywords,l2,la,language,local-url,location,lp,m3,month,n2,note,number,numpages,organization,pages,pmid,primaryclass,pub_date,publisher,read,reviewed-author,school,series,source,tags,timestamp,title,ty,type,u1,u2,url,volume,year,year1
article,Howard2014CB,"Despite decades of research on spatial memory, we know surprisingly little about how the brain guides navigation to goals. While some models argue that vectors are represented for navigational guidance, other models postulate that the future path is computed. Although the hippocampal formation has been implicated in processing spatial goal information, it remains unclear whether this region processes path- or vector-related information.",,,,,,,,,"Howard, Lorelei R. and Javadi, Amir Homayoun and Yu, Yichao and Mill, Ravi D. and Morrison, Laura C. and Knight, Rebecca and Loftus, Michelle M. and Staskute, Laura and Spiers, Hugo J.",,YnBsaXN0MDDSAQIDBFxyZWxhdGl2ZVBhdGhZYWxpYXNEYXRhXxAaLi4vcGFwZXJzL2hvd2FyZDIwMTRjYi5wZGZPEQFsAAAAAAFsAAIAAAVtYWNPUwAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAQkQAAf////8QaG93YXJkMjAxNGNiLnBkZgAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA/////wAAAAAAAAAAAAAAAAABAAIAAAogY3UAAAAAAAAAAAAAAAAABnBhcGVycwACAD8vOlVzZXJzOndpdHRrdWhuOkRvY3VtZW50czpiaWJsaW9ncmFwaHk6cGFwZXJzOmhvd2FyZDIwMTRjYi5wZGYAAA4AIgAQAGgAbwB3AGEAcgBkADIAMAAxADQAYwBiAC4AcABkAGYADwAMAAUAbQBhAGMATwBTABIAPVVzZXJzL3dpdHRrdWhuL0RvY3VtZW50cy9iaWJsaW9ncmFwaHkvcGFwZXJzL2hvd2FyZDIwMTRjYi5wZGYAABMAAS8AABUAAgAP//8AAAAIAA0AGgAkAEEAAAAAAAACAQAAAAAAAAAFAAAAAAAAAAAAAAAAAAABsQ==,,,,,,,,,,,2020-04-01 10:52:35 +0200,2020-04-01 10:53:31 +0200,,,10.1016/j.cub.2014.05.001,,,,,,,,,,,,0960-9822,,,Current Biology,,,,,,,,,,,Jun,,,12,,,1331--1340,,,,Elsevier BV,,,,,,,,The Hippocampus and Entorhinal Cortex Encode the Path and Euclidean Distances to Goals during Navigation,,,,,http://dx.doi.org/10.1016/j.cub.2014.05.001,24,2014,
article,Howard2019B,"The standard theory of memory consolidation posits a dual-store memory system: a fast-learning fast-decaying hippocampus that transfers memories to slow-learning long-term cortical storage. Hippocampal lesions interrupt this transfer, so recent memories are more likely to be lost than more remote memories. Existing models of memory consolidation that simulate this temporally graded retrograde amnesia operate only on static patterns or unitary variables as memories. However, the mechanisms underlying the consolidation of episodes, which are sequential in nature and comprise multiple events, are not well understood. There is currently no computational theory for how memory replays of sequential experiences emerge dynamically during offline periods and how they are coordinated between the hippocampus and cortex to facilitate the stabilization of episodic memories. Further, there is evidence for a bi-directional interaction between the two memory systems during offline periods (Ji & Wilson, 2007), whereby the reactivation of waking neural patterns originating in the cortex triggers time-compressed sequential replays in the hippocampus, which in turn drive the consolidation of the pertinent sequence in the cortex. We have developed a computational model of memory encoding, consolidation, and recall for storing temporal sequences that explores the dynamics of this bi-directional interaction and time-compressed replays in four simulation experiments, providing novel insights into whether hippocampal learning needs to be suppressed for stable memory consolidation and into how new and old memories compete for limited replay opportunities during offline periods. The salience of experienced events, based on factors such as recency and frequency of use, is shown to have considerable impact on memory consolidation because it biases the relative probability that a particular event will be cued in the cortex during offline periods. In the presence of hippocampal learning during sleep, our model predicts that the fast-forgetting hippocampus can continually refresh the memory traces of a given episodic sequence if there are no competing experiences to be replayed.",,,,,,,,,"Howard, Michael D. and Skorheim, Steven W. and Pilly, Praveen K.",,YnBsaXN0MDDSAQIDBFxyZWxhdGl2ZVBhdGhZYWxpYXNEYXRhXxAZLi4vcGFwZXJzL2hvd2FyZDIwMTliLnBkZk8RAWYAAAAAAWYAAgAABW1hY09TAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAABCRAAB/////w9ob3dhcmQyMDE5Yi5wZGYAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAD/////AAAAAAAAAAAAAAAAAAEAAgAACiBjdQAAAAAAAAAAAAAAAAAGcGFwZXJzAAIAPi86VXNlcnM6d2l0dGt1aG46RG9jdW1lbnRzOmJpYmxpb2dyYXBoeTpwYXBlcnM6aG93YXJkMjAxOWIucGRmAA4AIAAPAGgAbwB3AGEAcgBkADIAMAAxADkAYgAuAHAAZABmAA8ADAAFAG0AYQBjAE8AUwASADxVc2Vycy93aXR0a3Vobi9Eb2N1bWVudHMvYmlibGlvZ3JhcGh5L3BhcGVycy9ob3dhcmQyMDE5Yi5wZGYAEwABLwAAFQACAA///wAAAAgADQAaACQAQAAAAAAAAAIBAAAAAAAAAAUAAAAAAAAAAAAAAAAAAAGq,,,,,,,,,,,2020-01-16 12:38:03 +0100,2020-03-31 14:28:13 +0200,,,10.1101/2019.12.19.882035,,,,,,,,,,,,,,,bioRxiv,,,,,,,,,,,Dec,,,,,,,,,,Cold Spring Harbor Laboratory,,,,,,replay; modeling; memory consolidation,,A model of bidirectional interactions between complementary learning systems for memory consolidation of sequential experiences,,,,,http://dx.doi.org/10.1101/2019.12.19.882035,,2019,
article,Hsieh2014N,"The hippocampus is critical for human episodic memory, but its role remains controversial. One fundamental question concerns whether the hippocampus represents specific objects or assigns context-dependent representations to objects. Here, we used multivoxel pattern similarity analysis of fMRI data during retrieval of learned object sequences to systematically investigate hippocampal coding of object and temporal context information. Hippocampal activity patterns carried information about the temporal positions of objects in learned sequences, but not about objects or temporal positions in random sequences. Hippocampal activity patterns differentiated between overlapping object sequences and between temporally adjacent objects that belonged to distinct sequence contexts. Parahippocampal and perirhinal cortex showed different pattern information profiles consistent with coding of temporal position and object information, respectively. These findings are consistent with models proposing that the hippocampus represents objects within specific temporal contexts, a capability that might explain its critical role in episodic memory.",,,,,,,,,"Hsieh, Liang-Tien and Gruber, Matthias J. and Jenkins, Lucas J. and Ranganath, Charan",,YnBsaXN0MDDSAQIDBFxyZWxhdGl2ZVBhdGhZYWxpYXNEYXRhXxAYLi4vcGFwZXJzL2hzaWVoMjAxNG4ucGRmTxEBZAAAAAABZAACAAAFbWFjT1MAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAEJEAAH/////DmhzaWVoMjAxNG4ucGRmAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAP////8AAAAAAAAAAAAAAAAAAQACAAAKIGN1AAAAAAAAAAAAAAAAAAZwYXBlcnMAAgA9LzpVc2Vyczp3aXR0a3VobjpEb2N1bWVudHM6YmlibGlvZ3JhcGh5OnBhcGVyczpoc2llaDIwMTRuLnBkZgAADgAeAA4AaABzAGkAZQBoADIAMAAxADQAbgAuAHAAZABmAA8ADAAFAG0AYQBjAE8AUwASADtVc2Vycy93aXR0a3Vobi9Eb2N1bWVudHMvYmlibGlvZ3JhcGh5L3BhcGVycy9oc2llaDIwMTRuLnBkZgAAEwABLwAAFQACAA///wAAAAgADQAaACQAPwAAAAAAAAIBAAAAAAAAAAUAAAAAAAAAAAAAAAAAAAGn,,,,,,,,,,,2020-02-28 15:36:21 +0100,2020-03-31 14:28:13 +0200,,,10.1016/j.neuron.2014.01.015,,,,,,,,,,,,0896-6273,,,Neuron,,,,,,,,,,,Mar,,,5,,,1165--1178,,,,Elsevier BV,,,,,,koenigsberg,,Hippocampal Activity Patterns Carry Information about Objects in Temporal Context,,,,,http://dx.doi.org/10.1016/j.neuron.2014.01.015,81,2014,
article,Huang2018E,"Storing temporal sequences of events (i.e., sequence memory) is fundamental to many cognitive functions. However, it is unknown how the sequence order information is maintained and represented in working memory and its behavioral significance, particularly in human subjects. We recorded electroencephalography (EEG) in combination with a temporal response function (TRF) method to dissociate item-specific neuronal reactivations. We demonstrate that serially remembered items are successively reactivated during memory retention. The sequential replay displays two interesting properties compared to the actual sequence. First, the item-by-item reactivation is compressed within a 200 -- 400 ms window, suggesting that external events are associated within a plasticity-relevant window to facilitate memory consolidation. Second, the replay is in a temporally reversed order and is strongly related to the recency effect in behavior. This fast-backward replay, previously revealed in rat hippocampus and demonstrated here in human cortical activities, might constitute a general neural mechanism for sequence memory and learning.",,,,,,,,,"Huang, Qiaoli and Jia, Jianrong and Han, Qiming and Luo, Huan",,YnBsaXN0MDDSAQIDBFxyZWxhdGl2ZVBhdGhZYWxpYXNEYXRhXxAYLi4vcGFwZXJzL2h1YW5nMjAxOGUucGRmTxEBZAAAAAABZAACAAAFbWFjT1MAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAEJEAAH/////Dmh1YW5nMjAxOGUucGRmAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAP////8AAAAAAAAAAAAAAAAAAQACAAAKIGN1AAAAAAAAAAAAAAAAAAZwYXBlcnMAAgA9LzpVc2Vyczp3aXR0a3VobjpEb2N1bWVudHM6YmlibGlvZ3JhcGh5OnBhcGVyczpodWFuZzIwMThlLnBkZgAADgAeAA4AaAB1AGEAbgBnADIAMAAxADgAZQAuAHAAZABmAA8ADAAFAG0AYQBjAE8AUwASADtVc2Vycy93aXR0a3Vobi9Eb2N1bWVudHMvYmlibGlvZ3JhcGh5L3BhcGVycy9odWFuZzIwMThlLnBkZgAAEwABLwAAFQACAA///wAAAAgADQAaACQAPwAAAAAAAAIBAAAAAAAAAAUAAAAAAAAAAAAAAAAAAAGn,,,,,,,,,,,2020-01-06 15:00:44 +0100,2020-03-31 14:28:13 +0200,,,10.7554/elife.35164,,,,,,,,,,,,2050-084X,,,eLife,,,,,,,,,,,Oct,,,,,,,,,,"eLife Sciences Publications, Ltd",,,,,,replay; human; EEG,,Fast-backward replay of sequentially memorized items in humans,,,,,http://dx.doi.org/10.7554/eLife.35164,7,2018,
article,Huang1995PNAS,"Agonists of the dopamine D1/D5 receptors that are positively coupled to adenylyl cyclase specifically induce a slowly developing long-lasting potentiation of the field excitatory postsynaptic potential in the CA1 region of the hippocampus that lasts for \&gt; 6 hr. This potentiation is blocked by the specific D1/D5 receptor antagonist SCH 23390 and is occluded by the potentiation induced by cAMP agonists. An agonist of the D2 receptor, which is negatively coupled to adenylyl cyclase through G alpha i, did not induce potentiation. Although this slow D1/D5 agonist-induced potentiation is partially independent of N-methyl-D-aspartate receptors, it seems to share some steps with and is occluded by the late phase of long-term potentiation (LTP) produced by three repeated trains of nerve stimuli applied to the Schaffer collateral pathway. Similarly, the D1/D5 antagonist SCH 23390 attenuates the late phase of the LTP induced by repeated trains, and the D1/D5 agonist-induced potentiation is blocked by the protein synthesis inhibitor anisomycin. These results suggest that the D1/D5 receptor may be involved in the late, protein synthesis-dependent component of LTP in the hippocampal CA1 region, either as an ancillary component or as a mediator directly contributing to the late phase.",,,,,,,,,"Huang, Y Y and Kandel, E R",,YnBsaXN0MDDSAQIDBFxyZWxhdGl2ZVBhdGhZYWxpYXNEYXRhXxAbLi4vcGFwZXJzL2h1YW5nMTk5NXBuYXMucGRmTxEBbgAAAAABbgACAAAFbWFjT1MAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAEJEAAH/////EWh1YW5nMTk5NXBuYXMucGRmAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAP////8AAAAAAAAAAAAAAAAAAQACAAAKIGN1AAAAAAAAAAAAAAAAAAZwYXBlcnMAAgBALzpVc2Vyczp3aXR0a3VobjpEb2N1bWVudHM6YmlibGlvZ3JhcGh5OnBhcGVyczpodWFuZzE5OTVwbmFzLnBkZgAOACQAEQBoAHUAYQBuAGcAMQA5ADkANQBwAG4AYQBzAC4AcABkAGYADwAMAAUAbQBhAGMATwBTABIAPlVzZXJzL3dpdHRrdWhuL0RvY3VtZW50cy9iaWJsaW9ncmFwaHkvcGFwZXJzL2h1YW5nMTk5NXBuYXMucGRmABMAAS8AABUAAgAP//8AAAAIAA0AGgAkAEIAAAAAAAACAQAAAAAAAAAFAAAAAAAAAAAAAAAAAAABtA==,,,,,,,,,,,2021-01-13 14:34:43 +0100,2021-01-13 14:35:00 +0100,,,10.1073/pnas.92.7.2446,,,,,,https://www.pnas.org/content/92/7/2446.full.pdf,,,,,,0027-8424,,,Proceedings of the National Academy of Sciences,,,,,,,,,,,,,,7,,,2446--2450,,,,National Academy of Sciences,,,,,,,,D1/D5 receptor agonists induce a protein synthesis-dependent late potentiation in the CA1 region of the hippocampus.,,,,,https://www.pnas.org/content/92/7/2446,92,1995,
article,Huettel2000N,"We investigated the effects of paired presentations of visual stimuli upon the evoked hemodynamic response of visual cortex measured by magnetic resonance imaging (MRI). Stimuli were identical 500-ms high-contrast checkerboard patterns, presented singly or with an interpair interval (IPI) of 1, 2, 4, or 6 s (onset-to-onset), followed by an intertrial interval of 16--20 s. Images were acquired at 1.5 Tesla using a gradient-echo echoplanar imaging sequence sensitive to blood-oxygenation-level dependent (BOLD) contrast. Single checkerboards evoked a hemodynamic response from visual cortex characterized by a rise at 3 s, peak activation at 5 s, and return to baseline by 10 s. We subtracted subjects' single-stimulus hemodynamic response from their paired-stimulus responses to isolate the contribution of the second stimulus. If the hemodynamic responses were fully additive, the residual should be a time-shifted replica of the single stimulus response. However, the amplitude of the hemodynamic response to the second checkerboard was smaller, and the peak latency was longer, than for the first. Furthermore, the amplitude decrement was dependent upon IPI, such that the response to the second stimulus at 1 s IPI was only 55% of that to a single stimulus, with recovery to 90% at a 6 s IPI. Peak latency was similarly dependent upon IPI with longer latencies observed for shorter IPIs. These results demonstrate an extended refractory period in the hemodynamic response to visual stimuli consistent with that shown previously for neuronal activity measured electrophysiologically.",,,,,,,,,"Huettel, Scott A. and McCarthy, Gregory",,YnBsaXN0MDDSAQIDBFxyZWxhdGl2ZVBhdGhZYWxpYXNEYXRhXxAaLi4vcGFwZXJzL2h1ZXR0ZWwyMDAwbi5wZGZPEQFsAAAAAAFsAAIAAAVtYWNPUwAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAQkQAAf////8QaHVldHRlbDIwMDBuLnBkZgAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA/////wAAAAAAAAAAAAAAAAABAAIAAAogY3UAAAAAAAAAAAAAAAAABnBhcGVycwACAD8vOlVzZXJzOndpdHRrdWhuOkRvY3VtZW50czpiaWJsaW9ncmFwaHk6cGFwZXJzOmh1ZXR0ZWwyMDAwbi5wZGYAAA4AIgAQAGgAdQBlAHQAdABlAGwAMgAwADAAMABuAC4AcABkAGYADwAMAAUAbQBhAGMATwBTABIAPVVzZXJzL3dpdHRrdWhuL0RvY3VtZW50cy9iaWJsaW9ncmFwaHkvcGFwZXJzL2h1ZXR0ZWwyMDAwbi5wZGYAABMAAS8AABUAAgAP//8AAAAIAA0AGgAkAEEAAAAAAAACAQAAAAAAAAAFAAAAAAAAAAAAAAAAAAABsQ==,,,,,,,,,,,2020-08-04 16:37:38 +0200,2020-08-04 16:38:57 +0200,,,10.1006/nimg.2000.0553,,,,,,,,,,,,1053-8119,,,NeuroImage,,,,,,,,,,,May,,,5,,,547--553,,,,Elsevier BV,,,,,,,,Evidence for a Refractory Period in the Hemodynamic Response to Visual Stimuli as Measured by {MRI},,,,,http://dx.doi.org/10.1006/nimg.2000.0553,11,2000,
article,Hulbert2014CC,"{Selective retrieval of overlapping memories can generate competition. How does the brain adaptively resolve this competition? One possibility is that competing memories are inhibited; in support of this view, numerous studies have found that selective retrieval leads to forgetting of memories that are related to the just-retrieved memory. However, this retrieval-induced forgetting (RIF) effect can be eliminated or even reversed if participants are given opportunities to restudy the materials between retrieval attempts. Here, we outline an explanation for such a reversal, rooted in a neural network model of RIF that predicts representational differentiation when restudy is interleaved with selective retrieval. To test this hypothesis, we measured changes in pattern similarity of the BOLD fMRI signal elicited by related memories after undergoing interleaved competitive retrieval and restudy. Reduced pattern similarity within the hippocampus positively correlated with retrieval-induced facilitation of competing memories. This result is consistent with an adaptive differentiation process that allows individuals to learn to distinguish between once-confusable memories.}",,,,,,,,,"Hulbert, J. C. and Norman, K. A.",,YnBsaXN0MDDSAQIDBFxyZWxhdGl2ZVBhdGhZYWxpYXNEYXRhXxAbLi4vcGFwZXJzL2h1bGJlcnQyMDE0Y2MucGRmTxEBbgAAAAABbgACAAAFbWFjT1MAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAEJEAAH/////EWh1bGJlcnQyMDE0Y2MucGRmAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAP////8AAAAAAAAAAAAAAAAAAQACAAAKIGN1AAAAAAAAAAAAAAAAAAZwYXBlcnMAAgBALzpVc2Vyczp3aXR0a3VobjpEb2N1bWVudHM6YmlibGlvZ3JhcGh5OnBhcGVyczpodWxiZXJ0MjAxNGNjLnBkZgAOACQAEQBoAHUAbABiAGUAcgB0ADIAMAAxADQAYwBjAC4AcABkAGYADwAMAAUAbQBhAGMATwBTABIAPlVzZXJzL3dpdHRrdWhuL0RvY3VtZW50cy9iaWJsaW9ncmFwaHkvcGFwZXJzL2h1bGJlcnQyMDE0Y2MucGRmABMAAS8AABUAAgAP//8AAAAIAA0AGgAkAEIAAAAAAAACAQAAAAAAAAAFAAAAAAAAAAAAAAAAAAABtA==,,,,,,,,,,,2020-10-30 17:39:50 +0100,2020-10-30 17:40:13 +0100,,,10.1093/cercor/bhu284,,,,,,https://academic.oup.com/cercor/article-pdf/25/10/3994/14102074/bhu284.pdf,,,,,,1047-3211,,,Cerebral Cortex,,,,,,,,,,,12,,,10,,,3994-4008,,,,,,,,,,,,{Neural Differentiation Tracks Improved Recall of Competing Memories Following Interleaved Study and Retrieval Practice},,,,,https://doi.org/10.1093/cercor/bhu284,25,2014,
article,Hunt2012NN,"When choosing between two options, correlates of their value are represented in neural activity throughout the brain. Whether these representations reflect activity that is fundamental to the computational process of value comparison, as opposed to other computations covarying with value, is unknown. We investigated activity in a biophysically plausible network model that transforms inputs relating to value into categorical choices. A set of characteristic time-varying signals emerged that reflect value comparison. We tested these model predictions using magnetoencephalography data recorded from human subjects performing value-guided decisions. Parietal and prefrontal signals matched closely with model predictions. These results provide a mechanistic explanation of neural signals recorded during value-guided choice and a means of distinguishing computational roles of different cortical regions whose activity covaries with value.",,,,,,,,,"Hunt, Laurence T and Kolling, Nils and Soltani, Alireza and Woolrich, Mark W and Rushworth, Matthew F S and Behrens, Timothy E J",,YnBsaXN0MDDSAQIDBFxyZWxhdGl2ZVBhdGhZYWxpYXNEYXRhXxAYLi4vcGFwZXJzL2h1bnQyMDEybm4ucGRmTxEBZAAAAAABZAACAAAFbWFjT1MAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAEJEAAH/////Dmh1bnQyMDEybm4ucGRmAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAP////8AAAAAAAAAAAAAAAAAAQACAAAKIGN1AAAAAAAAAAAAAAAAAAZwYXBlcnMAAgA9LzpVc2Vyczp3aXR0a3VobjpEb2N1bWVudHM6YmlibGlvZ3JhcGh5OnBhcGVyczpodW50MjAxMm5uLnBkZgAADgAeAA4AaAB1AG4AdAAyADAAMQAyAG4AbgAuAHAAZABmAA8ADAAFAG0AYQBjAE8AUwASADtVc2Vycy93aXR0a3Vobi9Eb2N1bWVudHMvYmlibGlvZ3JhcGh5L3BhcGVycy9odW50MjAxMm5uLnBkZgAAEwABLwAAFQACAA///wAAAAgADQAaACQAPwAAAAAAAAIBAAAAAAAAAAUAAAAAAAAAAAAAAAAAAAGn,,,,,,,,,,,2020-01-17 12:19:58 +0100,2020-10-27 12:02:13 +0100,,,10.1038/nn.3017,,,,,,,,,,,,1546-1726,,,Nature Neuroscience,,,,,,,/Users/wittkuhn/Downloads/S0960982219302192.bib,,,,Jan,,,3,,,470--476,,,,Springer Science and Business Media LLC,,,,,,,,Mechanisms underlying cortical activity during value-guided choice,,,,,http://dx.doi.org/10.1038/nn.3017,15,2012,
article,Hussin2020H,"Sharp-wave ripples (SWRs) are spontaneous, synchronized neural population events in the hippocampus widely thought to play a role in memory consolidation and retrieval. They occur predominantly in sleep and quiet immobility, and in primates, they also appear during active visual exploration. Typical measures of SWRs in behaving rats include changes in the rate of occurrence, or in the incidence of specific neural ensemble activity contained within the categorical SWR event. Much less is known about the relevance of spatiotemporal SWR features, though they may index underlying activity of specific cell types including ensemble-specific internally generated sequences. Furthermore, changes in SWR features during active exploratory states are unknown. In this study, we recorded hippocampal local-field potentials and single-units during periods of quiescence and as macaques performed a memory-guided visual search task. We observed that (a) ripples during quiescence have greater amplitudes and larger postripple waves (PRW) compared to those in task epochs, and (b) during ``remembered'' trials, ripples have larger amplitudes than during ``forgotten'' trials, with no change in duration or PRWs. We further found that spiking activity influences SWR features as a function of cell type and ripple timing. As expected, larger ripple amplitudes were associated with putative pyramidal or putative basket interneuron (IN) activity, even when the spikes in question exceed the duration of the ripple. In contrast, the PRW was attenuated with activity from low firing rate cells and enhanced with activity from high firing rate cells, with putative IN spikes during ripples leading to the most prominent PRW peaks. The selective changes in SWR features as a function of time window, cell type, and cognitive/vigilance states suggest that this mesoscopic field event can offer additional information about the local network and animal's state than would be appreciated from SWR event rates alone.",,,,,,,,,"Hussin, Ahmed T. and Leonard, Timothy K. and Hoffman, Kari L.",,YnBsaXN0MDDSAQIDBFxyZWxhdGl2ZVBhdGhZYWxpYXNEYXRhXxAZLi4vcGFwZXJzL2h1c3NpbjIwMjBoLnBkZk8RAWYAAAAAAWYAAgAABW1hY09TAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAABCRAAB/////w9odXNzaW4yMDIwaC5wZGYAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAD/////AAAAAAAAAAAAAAAAAAEAAgAACiBjdQAAAAAAAAAAAAAAAAAGcGFwZXJzAAIAPi86VXNlcnM6d2l0dGt1aG46RG9jdW1lbnRzOmJpYmxpb2dyYXBoeTpwYXBlcnM6aHVzc2luMjAyMGgucGRmAA4AIAAPAGgAdQBzAHMAaQBuADIAMAAyADAAaAAuAHAAZABmAA8ADAAFAG0AYQBjAE8AUwASADxVc2Vycy93aXR0a3Vobi9Eb2N1bWVudHMvYmlibGlvZ3JhcGh5L3BhcGVycy9odXNzaW4yMDIwaC5wZGYAEwABLwAAFQACAA///wAAAAgADQAaACQAQAAAAAAAAAIBAAAAAAAAAAUAAAAAAAAAAAAAAAAAAAGq,,,,,,,,,,,2020-01-09 07:53:28 +0100,2020-03-31 14:28:12 +0200,,,10.1002/hipo.23046,,,,,,,,,,,,,,,Hippocampus,,,"bursting, electrophysiology, hippocampus, local field potential, memory, nonhuman primate",,,,,,,,,,,1,,,50-59,,,,,,,,,,ripples; replay,,Sharp-wave ripple features in macaques depend on behavioral state and cell-type specific firing,,,,,https://onlinelibrary.wiley.com/doi/abs/10.1002/hipo.23046,30,2020,
article,Hyman1953JEP,"The information conveyed by a stimulus was varied in 3 ways: ""(a) the number of equally probable alternatives from which it could be chosen, (b) the proportion of times it could occur relative to the other possible alternatives, and (c) the probability of its occurrence as a function of the immediately preceding stimulus presentation. The reaction time to the amount of information in the stimulus produced a linear regression for each of the three ways{\ldots} .""",,,,,,,,,"Hyman, Ray",,YnBsaXN0MDDSAQIDBFxyZWxhdGl2ZVBhdGhZYWxpYXNEYXRhXxAaLi4vcGFwZXJzL2h5bWFuMTk1M2plcC5wZGZPEQFsAAAAAAFsAAIAAAVtYWNPUwAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAQkQAAf////8QaHltYW4xOTUzamVwLnBkZgAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA/////wAAAAAAAAAAAAAAAAABAAIAAAogY3UAAAAAAAAAAAAAAAAABnBhcGVycwACAD8vOlVzZXJzOndpdHRrdWhuOkRvY3VtZW50czpiaWJsaW9ncmFwaHk6cGFwZXJzOmh5bWFuMTk1M2plcC5wZGYAAA4AIgAQAGgAeQBtAGEAbgAxADkANQAzAGoAZQBwAC4AcABkAGYADwAMAAUAbQBhAGMATwBTABIAPVVzZXJzL3dpdHRrdWhuL0RvY3VtZW50cy9iaWJsaW9ncmFwaHkvcGFwZXJzL2h5bWFuMTk1M2plcC5wZGYAABMAAS8AABUAAgAP//8AAAAIAA0AGgAkAEEAAAAAAAACAQAAAAAAAAAFAAAAAAAAAAAAAAAAAAABsQ==,,,,,,,,,,,2019-12-04 13:31:40 +0100,2020-03-31 14:28:13 +0200,,,10.1037/h0056940,,,,,,,,,,,,0022-1015,,,Journal of Experimental Psychology,,,,,,,,,,,,,,3,,,188--196,,,,American Psychological Association (APA),,,,,,koenigsberg,,Stimulus information as a determinant of reaction time.,,,,,http://dx.doi.org/10.1037/h0056940,45,1953,
article,Igata2020B,"Hippocampal cells are central to spatial and predictive representations, and experience replays by place cells are crucial for learning and memory. Nonetheless, how hippocampal replay patterns dynamically change during the learning process remains to be largely elucidated. We found that when rats updated their behavioral strategies in response to a novel salient location, place cells increased theta sequences and sharp wave ripple-associated synchronous spikes that preferentially replayed salient locations and reward-related contexts in reverse order. The directionality and contents of the replays progressively varied with learning, including an optimized path that had never been exploited by the animals. Realtime suppression of sharp wave ripples during learning inhibited the rapid stabilization of optimized behavior. Our results suggest that hippocampal replays prioritize salient experiences and support the reinforcement of new behavioral policies.",,,,,,,,,"Igata, Hideyoshi and Ikegaya, Yuji and Sasaki, Takuya",,YnBsaXN0MDDSAQIDBFxyZWxhdGl2ZVBhdGhZYWxpYXNEYXRhXxAYLi4vcGFwZXJzL2lnYXRhMjAyMGIucGRmTxEBZAAAAAABZAACAAAFbWFjT1MAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAEJEAAH/////DmlnYXRhMjAyMGIucGRmAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAP////8AAAAAUERGIENBUk8AAQACAAAKIGN1AAAAAAAAAAAAAAAAAAZwYXBlcnMAAgA9LzpVc2Vyczp3aXR0a3VobjpEb2N1bWVudHM6YmlibGlvZ3JhcGh5OnBhcGVyczppZ2F0YTIwMjBiLnBkZgAADgAeAA4AaQBnAGEAdABhADIAMAAyADAAYgAuAHAAZABmAA8ADAAFAG0AYQBjAE8AUwASADtVc2Vycy93aXR0a3Vobi9Eb2N1bWVudHMvYmlibGlvZ3JhcGh5L3BhcGVycy9pZ2F0YTIwMjBiLnBkZgAAEwABLwAAFQACAA///wAAAAgADQAaACQAPwAAAAAAAAIBAAAAAAAAAAUAAAAAAAAAAAAAAAAAAAGn,,,,,,,,,,,2020-03-31 17:21:19 +0200,2020-03-31 17:22:14 +0200,,,10.1101/2020.03.23.002964,,,,,,,,,,,,,,,bioRxiv,,,,,,,,,,,Mar,,,,,,,,,,Cold Spring Harbor Laboratory,,,,,,,,Prioritized experience replays on a hippocampal predictive map for learning,,,,,http://dx.doi.org/10.1101/2020.03.23.002964,,2020,
